timestamp,model,split,average_precision,roc_auc,f1,precision,recall,accuracy,threshold,notes
2026-08-03T03:49:03,baseline_most_frequent,val,0.0484848484848484,0.5,0.0,0.0,0.0,0.9515151515151516,0.5,always predicts the majority class
2026-08-03T04:08:19,baseline_tfidf_logreg,val,0.9091728865714156,0.9915312748805732,0.8113879003558719,0.7450980392156863,0.890625,0.9799242424242424,0.4481045765905775,"threshold tuned on val (F2), C=1.0"
2026-08-03T04:38:20,baseline_tfidf_logreg,test,0.9094905815614654,0.9912078274283438,0.7773851590106007,0.7096774193548387,0.859375,0.9761363636363636,0.4481045765905775,threshold frozen from val
2026-08-04T17:00:52,lightgbm_tfidf_svd_meta,val,0.9201658472461351,0.9915654856687898,0.8027210884353742,0.7108433734939759,0.921875,0.978030303030303,0.0947796374942193,"SVD=200, spw=19.5, F2-tuned"
2026-08-04T17:12:23,lightgbm_tfidf_svd_meta,test,0.9210875538563872,0.991826731687898,0.7903780068728522,0.7055214723926381,0.8984375,0.9768939393939394,0.0947796374942193,threshold frozen from val
2026-08-05T05:03:49,minilm_frozen_logreg,val,0.5921634127505238,0.9339296377388536,0.5663716814159292,0.4549763033175355,0.75,0.9443181818181818,0.7341802130567266,"all-MiniLM-L6-v2 frozen, LogReg head, F2-tuned"
2026-08-05T05:03:49,minilm_frozen_logreg,test,0.5453719221277014,0.946646720740446,0.5403726708074534,0.4484536082474227,0.6796875,0.943939393939394,0.7341802130567266,threshold frozen from val
2026-08-05T05:07:28,minilm_frozen_lightgbm,val,0.8204455818294197,0.9706191530652868,0.7010309278350515,0.6257668711656442,0.796875,0.9670454545454544,0.0048011925048062,"all-MiniLM-L6-v2 frozen, LightGBM head, F2-tuned"
2026-08-05T05:07:29,minilm_frozen_lightgbm,test,0.8360288682911409,0.9798000845939492,0.6842105263157895,0.5909090909090909,0.8125,0.9636363636363636,0.0048011925048062,threshold frozen from val
2026-08-05T18:20:16,distilbert_finetuned,val,0.932727481639959,0.9892858031449044,0.8754716981132076,0.8467153284671532,0.90625,0.9875,0.0208443161100149,"DistilBERT 256tok/3ep, weighted loss, F2-tuned"
2026-08-05T18:20:16,distilbert_finetuned,test,0.8876914891459735,0.984732658240446,0.8153846153846154,0.803030303030303,0.828125,0.9818181818181818,0.0208443161100149,threshold frozen from val
2026-08-06T05:18:10,lightgbm_tfidf_svd_meta_tuned,val,0.9302658156378726,0.9944360818073248,0.8109965635738832,0.7239263803680982,0.921875,0.9791666666666666,0.1159433299558709,Optuna 40 trials TPE F2-tuned
2026-08-06T05:18:10,lightgbm_tfidf_svd_meta_tuned,test,0.9037225262434389,0.9883154607882164,0.7872340425531915,0.7207792207792207,0.8671875,0.9772727272727272,0.1159433299558709,threshold frozen from val
